Techstack,Links
"Angular, Jenkins, Xamarin",https://example.com/angular-jenkins-xamarin-portfolio
"DevOps, React, Spring Boot",https://example.com/devops-react-springboot-portfolio
"Django, GraphQL, TensorFlow",https://example.com/django-graphql-tensorflow-portfolio
"Backend, Frontend, Machine Learning",https://example.com/backend-frontend-machinelearning-portfolio
"Java, JavaScript, Machine Learning",https://example.com/java-javascript-machinelearning-portfolio
"PHP, React, Xamarin",https://example.com/php-react-xamarin-portfolio
"Magento, React Native, WordPress",https://example.com/magento-reactnative-wordpress-portfolio
"Android, DevOps, Ruby on Rails",https://example.com/android-devops-rubyonrails-portfolio
"Java, Node.js, Python",https://example.com/java-node.js-python-portfolio
"Frontend, Java, React Native",https://example.com/frontend-java-reactnative-portfolio
"Android NDK, Angular, Xamarin",https://example.com/androidndk-angular-xamarin-portfolio
"Cross-platform, Flutter, Machine Learning",https://example.com/cross-platform-flutter-machinelearning-portfolio
"Kotlin, Machine Learning, TypeScript",https://example.com/kotlin-machinelearning-typescript-portfolio
"ARKit, Magento, Oracle",https://example.com/arkit-magento-oracle-portfolio
"Java, Jenkins, MongoDB",https://example.com/java-jenkins-mongodb-portfolio
"Express.js, Machine Learning, MySQL",https://example.com/express.js-machinelearning-mysql-portfolio
"Android, Frontend, Python",https://example.com/android-frontend-python-portfolio
"GraphQL, Machine Learning, PostgreSQL",https://example.com/graphql-machinelearning-postgresql-portfolio
"DevOps, Firebase, Spring Boot",https://example.com/devops-firebase-springboot-portfolio
"Jenkins, Kotlin, Spring Boot",https://example.com/jenkins-kotlin-springboot-portfolio
"PHP, Python, Xamarin",https://example.com/php-python-xamarin-portfolio
".NET, Django, Oracle",https://example.com/.net-django-oracle-portfolio
"PostgreSQL, React, Room Persistence",https://example.com/postgresql-react-roompersistence-portfolio
"ARKit, Ruby on Rails, TypeScript",https://example.com/arkit-rubyonrails-typescript-portfolio
"Angular, Backend, Full-stack",https://example.com/angular-backend-full-stack-portfolio
"Kotlin, TypeScript, Vue.js",https://example.com/kotlin-typescript-vue.js-portfolio
"Full-stack, GraphQL, iOS",https://example.com/full-stack-graphql-ios-portfolio
"Android TV, JavaScript, Oracle",https://example.com/androidtv-javascript-oracle-portfolio
"Backend, JavaScript, Oracle",https://example.com/backend-javascript-oracle-portfolio
"GraphQL, Ruby on Rails, Xamarin",https://example.com/graphql-rubyonrails-xamarin-portfolio
"Cross-platform, Docker, Room Persistence",https://example.com/cross-platform-docker-roompersistence-portfolio
".NET, Room Persistence, Swift",https://example.com/.net-roompersistence-swift-portfolio
"Docker, GraphQL, PHP",https://example.com/docker-graphql-php-portfolio
"Java, PHP, TensorFlow",https://example.com/java-php-tensorflow-portfolio
"Core Data, Spring Boot, Vue.js",https://example.com/coredata-springboot-vue.js-portfolio
"Android TV, Oracle, Room Persistence",https://example.com/androidtv-oracle-roompersistence-portfolio
"React Native, SQL Server, WordPress",https://example.com/reactnative-sqlserver-wordpress-portfolio
"GraphQL, Vue.js, Xamarin",https://example.com/graphql-vue.js-xamarin-portfolio
"Frontend, Node.js, Spring Boot",https://example.com/frontend-node.js-springboot-portfolio
"Android NDK, Magento, React Native",https://example.com/androidndk-magento-reactnative-portfolio
"React, Ruby on Rails, iOS",https://example.com/react-rubyonrails-ios-portfolio
"Angular, Core Data, Django",https://example.com/angular-coredata-django-portfolio
"Angular, Django, MongoDB",https://example.com/angular-django-mongodb-portfolio
"ARKit, Android NDK, PostgreSQL",https://example.com/arkit-androidndk-postgresql-portfolio
"React, React Native, Vue.js",https://example.com/react-reactnative-vue.js-portfolio
"Angular, Core Data, DevOps",https://example.com/angular-coredata-devops-portfolio
"Android, Azure, Machine Learning",https://example.com/android-azure-machinelearning-portfolio
"Azure, DevOps, Vue.js",https://example.com/azure-devops-vue.js-portfolio
"Azure, Magento, SQL Server",https://example.com/azure-magento-sqlserver-portfolio
"GraphQL, TensorFlow, Xamarin",https://example.com/graphql-tensorflow-xamarin-portfolio
"GraphQL, MySQL, iOS",https://example.com/graphql-mysql-ios-portfolio
"Angular, Magento, TypeScript",https://example.com/angular-magento-typescript-portfolio
"Frontend, Kotlin, React Native",https://example.com/frontend-kotlin-reactnative-portfolio
"Angular, React Native, Ruby on Rails",https://example.com/angular-reactnative-rubyonrails-portfolio
"Express.js, GraphQL, SQL Server",https://example.com/express.js-graphql-sqlserver-portfolio
"Machine Learning, Swift, iOS",https://example.com/machinelearning-swift-ios-portfolio
"Flutter, Python, TypeScript",https://example.com/flutter-python-typescript-portfolio
"Android, Java, Node.js",https://example.com/android-java-node.js-portfolio
"Django, Firebase, Swift",https://example.com/django-firebase-swift-portfolio
"Firebase, Flutter, TensorFlow",https://example.com/firebase-flutter-tensorflow-portfolio
"Flutter, JavaScript, Ruby on Rails",https://example.com/flutter-javascript-rubyonrails-portfolio
"Angular, Firebase, Xamarin",https://example.com/angular-firebase-xamarin-portfolio
"Django, Node.js, SQL Server",https://example.com/django-node.js-sqlserver-portfolio
"Docker, Flutter, Python",https://example.com/docker-flutter-python-portfolio
".NET, Express.js, Spring Boot",https://example.com/.net-express.js-springboot-portfolio
"ARKit, Core Data, Frontend",https://example.com/arkit-coredata-frontend-portfolio
"Express.js, SQL Server, Vue.js",https://example.com/express.js-sqlserver-vue.js-portfolio
"Android, Java, Kotlin",https://example.com/android-java-kotlin-portfolio
"Firebase, Full-stack, Oracle",https://example.com/firebase-full-stack-oracle-portfolio
".NET, Angular, Spring Boot",https://example.com/.net-angular-springboot-portfolio
"Backend, Full-stack, Java",https://example.com/backend-full-stack-java-portfolio
"DevOps, Express.js, Swift",https://example.com/devops-express.js-swift-portfolio
"Angular, Java, PHP",https://example.com/angular-java-php-portfolio
"Android, Android NDK, GraphQL",https://example.com/android-androidndk-graphql-portfolio
"Core Data, Cross-platform, Machine Learning",https://example.com/coredata-cross-platform-machinelearning-portfolio
"Android NDK, Java, TypeScript",https://example.com/androidndk-java-typescript-portfolio
"Android, Docker, Machine Learning",https://example.com/android-docker-machinelearning-portfolio
"Android NDK, Kotlin, Machine Learning",https://example.com/androidndk-kotlin-machinelearning-portfolio
"DevOps, Docker, Ruby on Rails",https://example.com/devops-docker-rubyonrails-portfolio
"Firebase, Room Persistence, SQL Server",https://example.com/firebase-roompersistence-sqlserver-portfolio
"Android TV, Node.js, PHP",https://example.com/androidtv-node.js-php-portfolio
"Android, Android NDK, Kotlin",https://example.com/android-androidndk-kotlin-portfolio
".NET, Full-stack, SQL Server",https://example.com/.net-full-stack-sqlserver-portfolio
"Android, Machine Learning, Python",https://example.com/android-machinelearning-python-portfolio
"Cross-platform, React, Room Persistence",https://example.com/cross-platform-react-roompersistence-portfolio
"Full-stack, Java, PHP",https://example.com/full-stack-java-php-portfolio
"Cross-platform, Magento, React",https://example.com/cross-platform-magento-react-portfolio
"Core Data, Frontend, MySQL",https://example.com/coredata-frontend-mysql-portfolio
"Android NDK, Full-stack, Oracle",https://example.com/androidndk-full-stack-oracle-portfolio
"Machine Learning, Oracle, Python",https://example.com/machinelearning-oracle-python-portfolio
"Firebase, Machine Learning, WordPress",https://example.com/firebase-machinelearning-wordpress-portfolio
"Android TV, Django, Node.js",https://example.com/androidtv-django-node.js-portfolio
"Android, Django, SQL Server",https://example.com/android-django-sqlserver-portfolio
"Node.js, React, iOS",https://example.com/node.js-react-ios-portfolio
"DevOps, Vue.js, Xamarin",https://example.com/devops-vue.js-xamarin-portfolio
"Core Data, MongoDB, Oracle",https://example.com/coredata-mongodb-oracle-portfolio
".NET, Django, Ruby on Rails",https://example.com/.net-django-rubyonrails-portfolio
"Android, GraphQL, React Native",https://example.com/android-graphql-reactnative-portfolio
"Core Data, MongoDB, TypeScript",https://example.com/coredata-mongodb-typescript-portfolio
"Android, PHP, TypeScript",https://example.com/android-php-typescript-portfolio
"Android NDK, Full-stack, WordPress",https://example.com/androidndk-full-stack-wordpress-portfolio
"Frontend, Jenkins, TensorFlow",https://example.com/frontend-jenkins-tensorflow-portfolio
"Android NDK, Backend, Express.js",https://example.com/androidndk-backend-express.js-portfolio
"Firebase, Jenkins, Ruby on Rails",https://example.com/firebase-jenkins-rubyonrails-portfolio
"Android, Android TV, Express.js",https://example.com/android-androidtv-express.js-portfolio
"Backend, Cross-platform, React Native",https://example.com/backend-cross-platform-reactnative-portfolio
"Backend, JavaScript, TensorFlow",https://example.com/backend-javascript-tensorflow-portfolio
"Express.js, Kotlin, iOS",https://example.com/express.js-kotlin-ios-portfolio
"Full-stack, MongoDB, Vue.js",https://example.com/full-stack-mongodb-vue.js-portfolio
"Django, Express.js, GraphQL",https://example.com/django-express.js-graphql-portfolio
"ARKit, Cross-platform, DevOps",https://example.com/arkit-cross-platform-devops-portfolio
"Azure, Flutter, Java",https://example.com/azure-flutter-java-portfolio
"Django, React Native, Room Persistence",https://example.com/django-reactnative-roompersistence-portfolio
"Azure, Full-stack, iOS",https://example.com/azure-full-stack-ios-portfolio
"JavaScript, Spring Boot, WordPress",https://example.com/javascript-springboot-wordpress-portfolio
"Azure, Django, Frontend",https://example.com/azure-django-frontend-portfolio
"Core Data, Cross-platform, TypeScript",https://example.com/coredata-cross-platform-typescript-portfolio
"Docker, SQL Server, Vue.js",https://example.com/docker-sqlserver-vue.js-portfolio
"Azure, Docker, React",https://example.com/azure-docker-react-portfolio
"Android, Docker, TypeScript",https://example.com/android-docker-typescript-portfolio
"JavaScript, Python, TensorFlow",https://example.com/javascript-python-tensorflow-portfolio
"Cross-platform, Flutter, Magento",https://example.com/cross-platform-flutter-magento-portfolio
"ARKit, Kotlin, Ruby on Rails",https://example.com/arkit-kotlin-rubyonrails-portfolio
".NET, Oracle, TensorFlow",https://example.com/.net-oracle-tensorflow-portfolio
".NET, GraphQL, JavaScript",https://example.com/.net-graphql-javascript-portfolio
"Express.js, Magento, MongoDB",https://example.com/express.js-magento-mongodb-portfolio
"Android, Kotlin, Oracle",https://example.com/android-kotlin-oracle-portfolio
"Machine Learning, React Native, Xamarin",https://example.com/machinelearning-reactnative-xamarin-portfolio
"Azure, Java, Oracle",https://example.com/azure-java-oracle-portfolio
"Jenkins, Spring Boot, TypeScript",https://example.com/jenkins-springboot-typescript-portfolio
".NET, MongoDB, TensorFlow",https://example.com/.net-mongodb-tensorflow-portfolio
"ARKit, Kotlin, TensorFlow",https://example.com/arkit-kotlin-tensorflow-portfolio
"ARKit, Oracle, React",https://example.com/arkit-oracle-react-portfolio
"Android NDK, Django, React",https://example.com/androidndk-django-react-portfolio
"ARKit, DevOps, Django",https://example.com/arkit-devops-django-portfolio
"Jenkins, Room Persistence, WordPress",https://example.com/jenkins-roompersistence-wordpress-portfolio
"Core Data, Kotlin, MySQL",https://example.com/coredata-kotlin-mysql-portfolio
"Android, Kotlin, WordPress",https://example.com/android-kotlin-wordpress-portfolio
"Android TV, Kotlin, Swift",https://example.com/androidtv-kotlin-swift-portfolio
"Cross-platform, Firebase, Machine Learning",https://example.com/cross-platform-firebase-machinelearning-portfolio
"ARKit, JavaScript, PHP",https://example.com/arkit-javascript-php-portfolio
"ARKit, JavaScript, Xamarin",https://example.com/arkit-javascript-xamarin-portfolio
"Django, PHP, Spring Boot",https://example.com/django-php-springboot-portfolio
"MySQL, WordPress, Xamarin",https://example.com/mysql-wordpress-xamarin-portfolio
"Angular, Docker, Flutter",https://example.com/angular-docker-flutter-portfolio
"Java, Kotlin, Swift",https://example.com/java-kotlin-swift-portfolio
".NET, Node.js, React",https://example.com/.net-node.js-react-portfolio
"Kotlin, Python, Swift",https://example.com/kotlin-python-swift-portfolio
"ARKit, Docker, Full-stack",https://example.com/arkit-docker-full-stack-portfolio
"Firebase, Ruby on Rails, TensorFlow",https://example.com/firebase-rubyonrails-tensorflow-portfolio
"Cross-platform, MySQL, Room Persistence",https://example.com/cross-platform-mysql-roompersistence-portfolio
"PHP, Python, Room Persistence",https://example.com/php-python-roompersistence-portfolio
"GraphQL, React, SQL Server",https://example.com/graphql-react-sqlserver-portfolio
"Android, Firebase, PostgreSQL",https://example.com/android-firebase-postgresql-portfolio
"Android NDK, Java, Swift",https://example.com/androidndk-java-swift-portfolio
".NET, Backend, Cross-platform",https://example.com/.net-backend-cross-platform-portfolio
"Android NDK, React Native, TypeScript",https://example.com/androidndk-reactnative-typescript-portfolio
"Express.js, Magento, Ruby on Rails",https://example.com/express.js-magento-rubyonrails-portfolio
"Docker, GraphQL, SQL Server",https://example.com/docker-graphql-sqlserver-portfolio
"PostgreSQL, React, TypeScript",https://example.com/postgresql-react-typescript-portfolio
"Cross-platform, JavaScript, Kotlin",https://example.com/cross-platform-javascript-kotlin-portfolio
"Express.js, React Native, TypeScript",https://example.com/express.js-reactnative-typescript-portfolio
"Azure, Machine Learning, PostgreSQL",https://example.com/azure-machinelearning-postgresql-portfolio
"Machine Learning, PostgreSQL, SQL Server",https://example.com/machinelearning-postgresql-sqlserver-portfolio
"Core Data, Java, React Native",https://example.com/coredata-java-reactnative-portfolio
"Full-stack, React, Swift",https://example.com/full-stack-react-swift-portfolio
"Node.js, React Native, Ruby on Rails",https://example.com/node.js-reactnative-rubyonrails-portfolio
"ARKit, Docker, Frontend",https://example.com/arkit-docker-frontend-portfolio
"Android TV, Express.js, Node.js",https://example.com/androidtv-express.js-node.js-portfolio
"Android TV, Angular, GraphQL",https://example.com/androidtv-angular-graphql-portfolio
"PostgreSQL, TypeScript, WordPress",https://example.com/postgresql-typescript-wordpress-portfolio
"Android NDK, Django, Vue.js",https://example.com/androidndk-django-vue.js-portfolio
"Android NDK, JavaScript, TypeScript",https://example.com/androidndk-javascript-typescript-portfolio
"Python, Ruby on Rails, TensorFlow",https://example.com/python-rubyonrails-tensorflow-portfolio
"Core Data, DevOps, Xamarin",https://example.com/coredata-devops-xamarin-portfolio
"Android TV, Backend, Oracle",https://example.com/androidtv-backend-oracle-portfolio
".NET, DevOps, Firebase",https://example.com/.net-devops-firebase-portfolio
"Azure, MongoDB, SQL Server",https://example.com/azure-mongodb-sqlserver-portfolio
".NET, Machine Learning, React Native",https://example.com/.net-machinelearning-reactnative-portfolio
"Docker, Magento, Node.js",https://example.com/docker-magento-node.js-portfolio
"Magento, Node.js, Room Persistence",https://example.com/magento-node.js-roompersistence-portfolio
"Azure, Magento, PostgreSQL",https://example.com/azure-magento-postgresql-portfolio
"Frontend, Node.js, Swift",https://example.com/frontend-node.js-swift-portfolio
"Core Data, Express.js, MongoDB",https://example.com/coredata-express.js-mongodb-portfolio
"Full-stack, Swift, TensorFlow",https://example.com/full-stack-swift-tensorflow-portfolio
"ARKit, DevOps, Python",https://example.com/arkit-devops-python-portfolio
"Android NDK, Magento, Xamarin",https://example.com/androidndk-magento-xamarin-portfolio
"DevOps, SQL Server, iOS",https://example.com/devops-sqlserver-ios-portfolio
"Android NDK, TypeScript, Xamarin",https://example.com/androidndk-typescript-xamarin-portfolio
"Android, Java, Jenkins",https://example.com/android-java-jenkins-portfolio
"Cross-platform, JavaScript, MongoDB",https://example.com/cross-platform-javascript-mongodb-portfolio
"Angular, Oracle, Swift",https://example.com/angular-oracle-swift-portfolio
"Core Data, Java, Node.js",https://example.com/coredata-java-node.js-portfolio
"Express.js, Kotlin, Ruby on Rails",https://example.com/express.js-kotlin-rubyonrails-portfolio
"Docker, Machine Learning, Spring Boot",https://example.com/docker-machinelearning-springboot-portfolio
"Android NDK, MongoDB, Node.js",https://example.com/androidndk-mongodb-node.js-portfolio
"Azure, Cross-platform, iOS",https://example.com/azure-cross-platform-ios-portfolio
"Java, Room Persistence, Swift",https://example.com/java-roompersistence-swift-portfolio
"Magento, PostgreSQL, SQL Server",https://example.com/magento-postgresql-sqlserver-portfolio
"Flutter, MySQL, Swift",https://example.com/flutter-mysql-swift-portfolio
"Flutter, React Native, Room Persistence",https://example.com/flutter-reactnative-roompersistence-portfolio
"Azure, React Native, Vue.js",https://example.com/azure-reactnative-vue.js-portfolio
"Express.js, Frontend, TensorFlow",https://example.com/express.js-frontend-tensorflow-portfolio
"Android, Android NDK, Java",https://example.com/android-androidndk-java-portfolio
"Python, Spring Boot, WordPress",https://example.com/python-springboot-wordpress-portfolio
"Angular, Full-stack, PostgreSQL",https://example.com/angular-full-stack-postgresql-portfolio
"Android, Flutter, iOS",https://example.com/android-flutter-ios-portfolio
"Express.js, MongoDB, React",https://example.com/express.js-mongodb-react-portfolio
"Android, Angular, Django",https://example.com/android-angular-django-portfolio
"Azure, JavaScript, PostgreSQL",https://example.com/azure-javascript-postgresql-portfolio
"Cross-platform, Oracle, Spring Boot",https://example.com/cross-platform-oracle-springboot-portfolio
"Firebase, Java, Swift",https://example.com/firebase-java-swift-portfolio
"Android NDK, Docker, PHP",https://example.com/androidndk-docker-php-portfolio
"Flutter, Java, React Native",https://example.com/flutter-java-reactnative-portfolio
".NET, PostgreSQL, iOS",https://example.com/.net-postgresql-ios-portfolio
"Android TV, Azure, DevOps",https://example.com/androidtv-azure-devops-portfolio
"Flutter, Machine Learning, Spring Boot",https://example.com/flutter-machinelearning-springboot-portfolio
"Angular, React Native, Room Persistence",https://example.com/angular-reactnative-roompersistence-portfolio
"Kotlin, MySQL, Xamarin",https://example.com/kotlin-mysql-xamarin-portfolio
"Docker, Kotlin, Node.js",https://example.com/docker-kotlin-node.js-portfolio
"Java, Jenkins, Room Persistence",https://example.com/java-jenkins-roompersistence-portfolio
"Docker, SQL Server, Swift",https://example.com/docker-sqlserver-swift-portfolio
".NET, DevOps, Frontend",https://example.com/.net-devops-frontend-portfolio
"Azure, React Native, WordPress",https://example.com/azure-reactnative-wordpress-portfolio
"Frontend, MongoDB, Node.js",https://example.com/frontend-mongodb-node.js-portfolio
"Angular, Frontend, Spring Boot",https://example.com/angular-frontend-springboot-portfolio
"Angular, Kotlin, Spring Boot",https://example.com/angular-kotlin-springboot-portfolio
"ARKit, Docker, MySQL",https://example.com/arkit-docker-mysql-portfolio
"MySQL, SQL Server, Xamarin",https://example.com/mysql-sqlserver-xamarin-portfolio
"Android NDK, Cross-platform, Ruby on Rails",https://example.com/androidndk-cross-platform-rubyonrails-portfolio
"Azure, Full-stack, Xamarin",https://example.com/azure-full-stack-xamarin-portfolio
"Cross-platform, MySQL, Python",https://example.com/cross-platform-mysql-python-portfolio
"Express.js, Machine Learning, PHP",https://example.com/express.js-machinelearning-php-portfolio
"Cross-platform, JavaScript, TensorFlow",https://example.com/cross-platform-javascript-tensorflow-portfolio
"Core Data, SQL Server, Swift",https://example.com/coredata-sqlserver-swift-portfolio
"Android TV, React Native, Room Persistence",https://example.com/androidtv-reactnative-roompersistence-portfolio
"GraphQL, Jenkins, PostgreSQL",https://example.com/graphql-jenkins-postgresql-portfolio
"Express.js, PostgreSQL, Swift",https://example.com/express.js-postgresql-swift-portfolio
"Express.js, MongoDB, iOS",https://example.com/express.js-mongodb-ios-portfolio
"Express.js, GraphQL, Xamarin",https://example.com/express.js-graphql-xamarin-portfolio
".NET, Android, React",https://example.com/.net-android-react-portfolio
"Magento, PHP, Python",https://example.com/magento-php-python-portfolio
"Full-stack, Magento, MySQL",https://example.com/full-stack-magento-mysql-portfolio
"Docker, JavaScript, MongoDB",https://example.com/docker-javascript-mongodb-portfolio
"Room Persistence, Swift, Vue.js",https://example.com/roompersistence-swift-vue.js-portfolio
"Android, Frontend, MySQL",https://example.com/android-frontend-mysql-portfolio
"Flutter, JavaScript, React Native",https://example.com/flutter-javascript-reactnative-portfolio
"GraphQL, Kotlin, Vue.js",https://example.com/graphql-kotlin-vue.js-portfolio
".NET, Cross-platform, Django",https://example.com/.net-cross-platform-django-portfolio
"DevOps, Full-stack, Node.js",https://example.com/devops-full-stack-node.js-portfolio
"Docker, PostgreSQL, TypeScript",https://example.com/docker-postgresql-typescript-portfolio
"Android TV, Jenkins, Vue.js",https://example.com/androidtv-jenkins-vue.js-portfolio
"Android TV, Angular, TensorFlow",https://example.com/androidtv-angular-tensorflow-portfolio
"Angular, Frontend, Vue.js",https://example.com/angular-frontend-vue.js-portfolio
"Cross-platform, Full-stack, MySQL",https://example.com/cross-platform-full-stack-mysql-portfolio
"Android TV, Core Data, JavaScript",https://example.com/androidtv-coredata-javascript-portfolio
".NET, Frontend, Magento",https://example.com/.net-frontend-magento-portfolio
"DevOps, Java, React",https://example.com/devops-java-react-portfolio
"Node.js, Oracle, TypeScript",https://example.com/node.js-oracle-typescript-portfolio
